IdPaisProvincia,CodPaisProvincia,Provincia,IdPaisProvinciaMunicipio,CodPaisProvinciaMunicipio,Municipio
4,04,Almería,304,04026,Benitagla
4,04,Almería,305,04027,Benizalón
4,04,Almería,306,04028,Bentarique
4,04,Almería,307,04029,Berja
4,04,Almería,308,04030,Canjáyar
4,04,Almería,309,04031,Cantoria
4,04,Almería,310,04032,Carboneras
4,04,Almería,311,04033,Castro de Filabres
4,04,Almería,314,04036,Chercos
4,04,Almería,315,04037,Chirivel
4,04,Almería,312,04034,Cóbdar
4,04,Almería,313,04035,Cuevas del Almanzora
4,04,Almería,316,04038,Dalías
4,04,Almería,380,04902,El Ejido
4,04,Almería,317,04041,Enix
4,04,Almería,318,04043,Felix
4,04,Almería,319,04044,Fines
4,04,Almería,320,04045,Fiñana
4,04,Almería,321,04046,Fondón
4,04,Almería,322,04047,Gádor
4,04,Almería,324,04049,Garrucha
4,04,Almería,325,04050,Gérgal
4,04,Almería,326,04051,Huécija
4,04,Almería,327,04052,Huércal de Almería
4,04,Almería,328,04053,Huércal-Overa
4,04,Almería,329,04054,Illar
4,04,Almería,330,04055,Instinción
4,04,Almería,381,04903,La Mojonera
4,04,Almería,331,04056,Laroya
4,04,Almería,379,04901,Las Tres Villas
4,04,Almería,332,04057,Láujar de Andarax
4,04,Almería,333,04058,Líjar
4,04,Almería,323,04048,Los Gallardos
4,04,Almería,334,04059,Lubrín
4,04,Almería,335,04060,Lucainena de las Torres
4,04,Almería,336,04061,Lúcar
4,04,Almería,337,04062,Macael
4,04,Almería,338,04063,María
4,04,Almería,339,04064,Mojácar
4,04,Almería,340,04065,Nacimiento
4,04,Almería,341,04066,Níjar
4,04,Almería,342,04067,Ohanes
4,04,Almería,343,04068,Olula de Castro
4,04,Almería,344,04069,Olula del Río
4,04,Almería,345,04070,Oria
4,04,Almería,346,04071,Padules
4,04,Almería,347,04072,Partaloa
4,04,Almería,348,04073,Paterna del Río
4,04,Almería,349,04074,Pechina
4,04,Almería,350,04075,Pulpí
4,04,Almería,351,04076,Purchena
4,04,Almería,352,04077,Rágol
4,04,Almería,353,04078,Rioja
4,04,Almería,354,04079,Roquetas de Mar
4,04,Almería,355,04080,Santa Cruz de Marchena
4,04,Almería,356,04081,Santa Fe de Mondújar
4,04,Almería,357,04082,Senés
4,04,Almería,358,04083,Serón
4,04,Almería,359,04084,Sierro
4,04,Almería,360,04085,Somontín
4,04,Almería,361,04086,Sorbas
4,04,Almería,362,04087,Suflí
4,04,Almería,363,04088,Tabernas
4,04,Almería,364,04089,Taberno
4,04,Almería,365,04090,Tahal
4,04,Almería,366,04091,Terque
4,04,Almería,367,04092,Tíjola
4,04,Almería,368,04093,Turre
4,04,Almería,369,04094,Turrillas
4,04,Almería,370,04095,Uleila del Campo
4,04,Almería,371,04096,Urrácal
4,04,Almería,372,04097,Velefique
4,04,Almería,373,04098,Vélez-Blanco
4,04,Almería,374,04099,Vélez-Rubio
4,04,Almería,375,04100,Vera
4,04,Almería,376,04101,Viator
4,04,Almería,377,04102,Vícar
4,04,Almería,378,04103,Zurgena
5,05,Ávila,382,05001,Adanero
5,05,Ávila,384,05005,Albornos
5,05,Ávila,385,05007,Aldeanueva de Santa Cruz
5,05,Ávila,386,05008,Aldeaseca
5,05,Ávila,388,05012,Amavida
5,05,Ávila,390,05014,Arenas de San Pedro
5,05,Ávila,391,05015,Arevalillo
5,05,Ávila,392,05016,Arévalo
5,05,Ávila,393,05017,Aveinte
5,05,Ávila,394,05018,Avellaneda
5,05,Ávila,395,05019,Ávila
5,05,Ávila,398,05023,Barromán
5,05,Ávila,399,05024,Becedas
5,05,Ávila,400,05025,Becedillas
5,05,Ávila,401,05026,Bercial de Zapardiel
5,05,Ávila,403,05029,Bernuy-Zapardiel
5,05,Ávila,404,05030,Berrocalejo de Aragona
5,05,Ávila,405,05033,Blascomillán
5,05,Ávila,406,05034,Blasconuño de Matacabras
5,05,Ávila,407,05035,Blascosancho
5,05,Ávila,409,05037,Bohoyo
5,05,Ávila,410,05038,Bonilla de la Sierra
5,05,Ávila,411,05039,Brabos
5,05,Ávila,412,05040,Bularros
5,05,Ávila,413,05041,Burgohondo
5,05,Ávila,414,05042,Cabezas de Alambre
5,05,Ávila,415,05043,Cabezas del Pozo
5,05,Ávila,416,05044,Cabezas del Villar
5,05,Ávila,417,05045,Cabizuela
5,05,Ávila,418,05046,Canales
5,05,Ávila,419,05047,Candeleda
5,05,Ávila,420,05048,Cantiveros
5,05,Ávila,421,05049,Cardeñosa
5,05,Ávila,423,05052,Casas del Puerto
5,05,Ávila,424,05053,Casasola
5,05,Ávila,425,05054,Casavieja
5,05,Ávila,426,05055,Casillas
5,05,Ávila,427,05056,Castellanos de Zapardiel
5,05,Ávila,428,05057,Cebreros
5,05,Ávila,429,05058,Cepeda la Mora
5,05,Ávila,438,05067,Chamartín
5,05,Ávila,430,05059,Cillán
5,05,Ávila,431,05060,Cisla
5,05,Ávila,433,05062,Collado de Contreras
5,05,Ávila,434,05063,Collado del Mirón
5,05,Ávila,435,05064,Constanzana
5,05,Ávila,436,05065,Crespos
5,05,Ávila,437,05066,Cuevas del Valle
5,05,Ávila,627,05903,Diego del Carpio
5,05,Ávila,439,05069,Donjimeno
5,05,Ávila,440,05070,Donvidas
5,05,Ávila,389,05013,El Arenal
5,05,Ávila,396,05021,El Barco de Ávila
5,05,Ávila,397,05022,El Barraco
5,05,Ávila,408,05036,El Bohodón
5,05,Ávila,445,05076,El Fresno
5,05,Ávila,467,05100,El Hornillo
5,05,Ávila,469,05102,El Hoyo de Pinares
5,05,Ávila,478,05112,El Losar del Barco
5,05,Ávila,495,05129,El Mirón
5,05,Ávila,538,05175,El Oso
5,05,Ávila,543,05180,El Parral
5,05,Ávila,601,05241,El Tiemblo
5,05,Ávila,441,05072,Espinosa de los Caballeros
5,05,Ávila,442,05073,Flores de Ávila
5,05,Ávila,443,05074,Fontiveros
5,05,Ávila,444,05075,Fresnedilla
5,05,Ávila,446,05077,Fuente el Saúz
5,05,Ávila,447,05078,Fuentes de Año
5,05,Ávila,448,05079,Gallegos de Altamiros
5,05,Ávila,449,05080,Gallegos de Sobrinos
5,05,Ávila,450,05081,Garganta del Villar
5,05,Ávila,451,05082,Gavilanes
